confirmedCount,country,curedCount,currentConfirmedCount,deadCount,suspectedCount,updateTime
1,斯里兰卡,1,0,0,0,2020-02-29
1,斯里兰卡,1,0,0,0,2020-02-26
1,斯里兰卡,1,0,0,0,2020-02-22
1,斯里兰卡,1,0,0,0,2020-02-21
1,斯里兰卡,1,0,0,0,2020-02-20
1,斯里兰卡,1,0,0,0,2020-02-19
1,斯里兰卡,0,1,0,0,2020-02-16
1,斯里兰卡,0,1,0,0,2020-02-15
1,斯里兰卡,0,1,0,0,2020-02-14
1,斯里兰卡,0,1,0,0,2020-02-13
1,斯里兰卡,0,0,0,0,2020-02-12
1,斯里兰卡,0,0,0,0,2020-02-11
1,斯里兰卡,0,0,0,0,2020-02-10
1,斯里兰卡,0,0,0,0,2020-02-01
1,斯里兰卡,0,0,0,0,2020-01-28
85,英国,8,77,0,0,2020-03-05
51,英国,8,43,0,0,2020-03-04
51,英国,8,43,0,0,2020-03-03
36,英国,8,28,0,0,2020-03-02
35,英国,8,27,0,0,2020-03-01
20,英国,8,12,0,0,2020-02-29
15,英国,8,7,0,0,2020-02-28
15,英国,8,7,0,0,2020-02-27
13,英国,8,5,0,0,2020-02-26
13,英国,8,5,0,0,2020-02-25
13,英国,8,5,0,0,2020-02-24
9,英国,8,1,0,0,2020-02-20
9,英国,8,1,0,0,2020-02-19
9,英国,8,1,0,0,2020-02-18
9,英国,8,1,0,0,2020-02-17
9,英国,8,1,0,0,2020-02-16
9,英国,0,9,0,0,2020-02-15
9,英国,0,9,0,0,2020-02-14
9,英国,0,9,0,0,2020-02-13
8,英国,0,0,0,0,2020-02-12
8,英国,0,0,0,0,2020-02-11
3,英国,0,0,0,0,2020-02-10
3,英国,0,0,0,0,2020-02-08
2,英国,0,0,0,0,2020-02-01
2,英国,0,0,0,0,2020-01-31
1,乌克兰,0,1,0,0,2020-03-05
1,乌克兰,0,1,0,0,2020-03-04
1,乌克兰,0,1,0,0,2020-03-03
23,比利时,1,22,0,0,2020-03-05
13,比利时,1,12,0,0,2020-03-04
13,比利时,1,12,0,0,2020-03-03
2,比利时,1,1,0,0,2020-03-02
2,比利时,1,1,0,0,2020-03-01
1,比利时,1,0,0,0,2020-02-29
1,比利时,1,0,0,0,2020-02-26
1,比利时,1,0,0,0,2020-02-20
1,比利时,1,0,0,0,2020-02-19
1,比利时,1,0,0,0,2020-02-18
1,比利时,1,0,0,0,2020-02-17
1,比利时,0,1,0,0,2020-02-16
1,比利时,0,1,0,0,2020-02-15
1,比利时,0,1,0,0,2020-02-14
1,比利时,0,1,0,0,2020-02-13
1,比利时,0,0,0,0,2020-02-12
1,比利时,0,0,0,0,2020-02-11
1,比利时,0,0,0,0,2020-02-10
1,比利时,0,0,0,0,2020-02-04
1,立陶宛,0,1,0,0,2020-03-05
1,立陶宛,0,1,0,0,2020-03-03
1,立陶宛,0,1,0,0,2020-03-02
1,立陶宛,0,1,0,0,2020-03-01
1,立陶宛,0,1,0,0,2020-02-29
1,立陶宛,0,1,0,0,2020-02-28
3,俄罗斯,2,1,0,0,2020-03-05
2,俄罗斯,2,0,0,0,2020-03-03
2,俄罗斯,2,0,0,0,2020-03-02
2,俄罗斯,2,0,0,0,2020-03-01
2,俄罗斯,2,0,0,0,2020-02-29
2,俄罗斯,2,0,0,0,2020-02-26
2,俄罗斯,2,0,0,0,2020-02-20
2,俄罗斯,2,0,0,0,2020-02-17
2,俄罗斯,2,0,0,0,2020-02-16
2,俄罗斯,2,0,0,0,2020-02-15
2,俄罗斯,2,0,0,0,2020-02-14
2,俄罗斯,0,2,0,0,2020-02-13
2,俄罗斯,0,0,0,0,2020-02-12
2,俄罗斯,0,0,0,0,2020-02-11
2,俄罗斯,0,0,0,0,2020-02-10
2,俄罗斯,0,0,0,0,2020-02-01
2,俄罗斯,0,0,0,0,2020-01-31
1,阿富汗,0,1,0,0,2020-03-05
1,阿富汗,0,1,0,0,2020-03-03
1,阿富汗,0,1,0,0,2020-03-02
1,阿富汗,0,1,0,0,2020-03-01
1,阿富汗,0,1,0,0,2020-02-29
1,阿富汗,0,1,0,0,2020-02-28
1,阿富汗,0,1,0,0,2020-02-27
1,阿富汗,0,1,0,0,2020-02-26
1,阿富汗,0,1,0,0,2020-02-25
1,阿富汗,0,1,0,0,2020-02-24
53,澳大利亚,21,30,2,0,2020-03-05
41,澳大利亚,21,19,1,0,2020-03-04
40,澳大利亚,15,24,1,0,2020-03-03
29,澳大利亚,15,13,1,0,2020-03-02
28,澳大利亚,15,12,1,0,2020-03-01
25,澳大利亚,15,10,0,0,2020-02-29
23,澳大利亚,15,8,0,0,2020-02-28
23,澳大利亚,15,8,0,0,2020-02-27
22,澳大利亚,15,7,0,0,2020-02-26
22,澳大利亚,15,7,0,0,2020-02-25
22,澳大利亚,10,12,0,0,2020-02-24
21,澳大利亚,11,10,0,0,2020-02-23
21,澳大利亚,11,10,0,0,2020-02-22
17,澳大利亚,11,6,0,0,2020-02-21
15,澳大利亚,10,5,0,0,2020-02-20
15,澳大利亚,10,5,0,0,2020-02-19
15,澳大利亚,10,5,0,0,2020-02-18
15,澳大利亚,10,5,0,0,2020-02-17
15,澳大利亚,10,5,0,0,2020-02-16
15,澳大利亚,5,10,0,0,2020-02-15
15,澳大利亚,5,10,0,0,2020-02-14
15,澳大利亚,5,10,0,0,2020-02-13
15,澳大利亚,5,0,0,0,2020-02-12
15,澳大利亚,3,0,0,0,2020-02-11
15,澳大利亚,3,0,0,0,2020-02-10
15,澳大利亚,3,0,0,0,2020-02-08
15,澳大利亚,2,0,0,0,2020-02-07
14,澳大利亚,2,0,0,0,2020-02-06
13,澳大利亚,2,0,0,0,2020-02-04
12,澳大利亚,2,0,0,0,2020-02-02
9,澳大利亚,2,0,0,0,2020-02-01
9,澳大利亚,2,0,0,0,2020-01-31
8,澳大利亚,2,0,0,0,2020-01-30
7,澳大利亚,0,0,0,0,2020-01-29
5,澳大利亚,0,0,0,0,2020-01-27
3,新西兰,0,3,0,0,2020-03-05
2,新西兰,0,2,0,0,2020-03-04
1,新西兰,0,1,0,0,2020-03-03
1,新西兰,0,1,0,0,2020-03-02
1,新西兰,0,1,0,0,2020-03-01
1,新西兰,0,1,0,0,2020-02-29
1,新西兰,0,1,0,0,2020-02-28
1,摩洛哥,0,1,0,0,2020-03-05
1,摩洛哥,0,1,0,0,2020-03-04
1,摩洛哥,0,1,0,0,2020-03-03
2,沙特阿拉伯,0,2,0,0,2020-03-05
1,沙特阿拉伯,0,1,0,0,2020-03-04
1,沙特阿拉伯,0,1,0,0,2020-03-03
3,格鲁吉亚,0,3,0,0,2020-03-05
3,格鲁吉亚,0,3,0,0,2020-03-04
3,格鲁吉亚,0,3,0,0,2020-03-03
3,格鲁吉亚,0,3,0,0,2020-03-02
3,格鲁吉亚,0,3,0,0,2020-03-01
2,格鲁吉亚,0,2,0,0,2020-02-29
1,格鲁吉亚,0,1,0,0,2020-02-28
1,格鲁吉亚,0,1,0,0,2020-02-27
33,加拿大,4,29,0,0,2020-03-05
30,加拿大,4,26,0,0,2020-03-04
24,加拿大,4,20,0,0,2020-03-03
24,加拿大,4,20,0,0,2020-03-02
20,加拿大,4,16,0,0,2020-03-01
16,加拿大,4,12,0,0,2020-02-29
14,加拿大,4,10,0,0,2020-02-28
12,加拿大,4,8,0,0,2020-02-27
11,加拿大,4,7,0,0,2020-02-26
11,加拿大,4,7,0,0,2020-02-25
10,加拿大,3,7,0,0,2020-02-24
8,加拿大,2,6,0,0,2020-02-20
8,加拿大,2,6,0,0,2020-02-17
8,加拿大,2,6,0,0,2020-02-16
8,加拿大,2,6,0,0,2020-02-15
7,加拿大,2,5,0,0,2020-02-14
7,加拿大,2,5,0,0,2020-02-13
7,加拿大,0,0,0,0,2020-02-12
7,加拿大,0,0,0,0,2020-02-11
7,加拿大,0,0,0,0,2020-02-10
7,加拿大,0,0,0,0,2020-02-09
5,加拿大,0,0,0,0,2020-02-05
4,加拿大,0,0,0,0,2020-02-01
3,加拿大,0,0,0,0,2020-01-29
1,加拿大,0,0,0,0,2020-01-27
49,巴林,0,49,0,0,2020-03-05
49,巴林,0,49,0,0,2020-03-04
47,巴林,0,47,0,0,2020-03-03
47,巴林,0,47,0,0,2020-03-02
41,巴林,0,41,0,0,2020-03-01
38,巴林,0,38,0,0,2020-02-29
33,巴林,0,33,0,0,2020-02-28
33,巴林,0,33,0,0,2020-02-27
26,巴林,0,26,0,0,2020-02-26
8,巴林,0,8,0,0,2020-02-25
1,巴林,0,1,0,0,2020-02-24
193,西班牙,2,190,1,0,2020-03-05
165,西班牙,2,162,1,0,2020-03-04
150,西班牙,2,148,0,0,2020-03-03
84,西班牙,2,82,0,0,2020-03-02
58,西班牙,2,56,0,0,2020-03-01
41,西班牙,2,39,0,0,2020-02-29
25,西班牙,2,23,0,0,2020-02-28
13,西班牙,2,11,0,0,2020-02-27
7,西班牙,2,5,0,0,2020-02-26
3,西班牙,2,1,0,0,2020-02-25
2,西班牙,2,0,0,0,2020-02-22
2,西班牙,2,0,0,0,2020-02-21
2,西班牙,2,0,0,0,2020-02-20
2,西班牙,2,0,0,0,2020-02-19
2,西班牙,0,2,0,0,2020-02-16
2,西班牙,0,2,0,0,2020-02-15
2,西班牙,0,2,0,0,2020-02-14
2,西班牙,0,2,0,0,2020-02-13
2,西班牙,0,0,0,0,2020-02-12
2,西班牙,0,0,0,0,2020-02-11
2,西班牙,0,0,0,0,2020-02-10
7,西班牙,0,0,0,0,2020-02-01
6,白俄罗斯,0,6,0,0,2020-03-05
4,白俄罗斯,0,4,0,0,2020-03-04
3,白俄罗斯,0,3,0,0,2020-03-03
1,白俄罗斯,0,1,0,0,2020-03-02
1,白俄罗斯,0,1,0,0,2020-03-01
1,白俄罗斯,0,1,0,0,2020-02-29
1,白俄罗斯,0,1,0,0,2020-02-28
32,伊拉克,0,30,2,0,2020-03-05
32,伊拉克,0,31,1,0,2020-03-04
19,伊拉克,0,19,0,0,2020-03-03
19,伊拉克,0,19,0,0,2020-03-02
13,伊拉克,0,13,0,0,2020-03-01
8,伊拉克,0,8,0,0,2020-02-29
7,伊拉克,0,7,0,0,2020-02-28
6,伊拉克,0,6,0,0,2020-02-27
1,伊拉克,0,1,0,0,2020-02-26
1,伊拉克,0,1,0,0,2020-02-25
1,伊拉克,0,1,0,0,2020-02-24
1,伊拉克,0,1,0,0,2020-02-23
50,马来西亚,22,28,0,0,2020-03-05
50,马来西亚,22,28,0,0,2020-03-04
36,马来西亚,22,14,0,0,2020-03-03
29,马来西亚,18,11,0,0,2020-03-02
29,马来西亚,18,11,0,0,2020-03-01
25,马来西亚,18,7,0,0,2020-02-29
23,马来西亚,18,5,0,0,2020-02-28
23,马来西亚,18,5,0,0,2020-02-27
22,马来西亚,18,4,0,0,2020-02-26
22,马来西亚,18,4,0,0,2020-02-25
22,马来西亚,18,4,0,0,2020-02-24
22,马来西亚,15,7,0,0,2020-02-22
22,马来西亚,15,7,0,0,2020-02-21
22,马来西亚,15,7,0,0,2020-02-20
22,马来西亚,15,7,0,0,2020-02-19
22,马来西亚,7,15,0,0,2020-02-18
22,马来西亚,7,15,0,0,2020-02-17
22,马来西亚,7,15,0,0,2020-02-16
19,马来西亚,3,16,0,0,2020-02-15
19,马来西亚,3,16,0,0,2020-02-14
19,马来西亚,3,16,0,0,2020-02-13
18,马来西亚,3,0,0,0,2020-02-12
18,马来西亚,3,0,0,0,2020-02-11
18,马来西亚,1,0,0,0,2020-02-10
16,马来西亚,1,0,0,0,2020-02-08
12,马来西亚,1,0,0,0,2020-02-07
12,马来西亚,0,0,0,0,2020-02-05
10,马来西亚,0,0,0,0,2020-02-04
8,马来西亚,0,0,0,0,2020-02-01
8,马来西亚,0,0,0,0,2020-01-30
7,马来西亚,0,0,0,0,2020-01-29
3,马来西亚,0,0,0,0,2020-01-27
10,厄瓜多尔,0,10,0,0,2020-03-05
7,厄瓜多尔,0,7,0,0,2020-03-04
6,厄瓜多尔,0,6,0,0,2020-03-03
6,厄瓜多尔,0,6,0,0,2020-03-02
1,厄瓜多尔,0,1,0,0,2020-03-01
15,丹麦,0,15,0,0,2020-03-05
10,丹麦,0,10,0,0,2020-03-04
6,丹麦,0,6,0,0,2020-03-03
3,丹麦,0,3,0,0,2020-03-02
3,丹麦,0,3,0,0,2020-03-01
3,丹麦,0,3,0,0,2020-02-29
1,丹麦,0,1,0,0,2020-02-28
1,丹麦,0,1,0,0,2020-02-27
5,捷克,0,5,0,0,2020-03-05
5,捷克,0,5,0,0,2020-03-04
5,捷克,0,5,0,0,2020-03-03
3,捷克,0,3,0,0,2020-03-02
5,葡萄牙,0,5,0,0,2020-03-05
2,葡萄牙,0,2,0,0,2020-03-04
2,葡萄牙,0,2,0,0,2020-03-03
1,阿根廷,0,1,0,0,2020-03-05
1,阿根廷,0,1,0,0,2020-03-04
26,冰岛,0,26,0,0,2020-03-05
14,冰岛,0,14,0,0,2020-03-04
9,冰岛,0,9,0,0,2020-03-03
1,冰岛,0,1,0,0,2020-03-02
1,冰岛,0,1,0,0,2020-03-01
1,冰岛,0,1,0,0,2020-02-29
1,拉脱维亚,0,1,0,0,2020-03-05
1,拉脱维亚,0,1,0,0,2020-03-04
1,柬埔寨,1,0,0,0,2020-03-05
1,柬埔寨,1,0,0,0,2020-03-03
1,柬埔寨,1,0,0,0,2020-03-02
1,柬埔寨,1,0,0,0,2020-03-01
1,柬埔寨,1,0,0,0,2020-02-29
1,柬埔寨,1,0,0,0,2020-02-26
1,柬埔寨,1,0,0,0,2020-02-16
1,柬埔寨,1,0,0,0,2020-02-15
1,柬埔寨,1,0,0,0,2020-02-14
1,柬埔寨,1,0,0,0,2020-02-13
1,柬埔寨,1,0,0,0,2020-02-12
1,柬埔寨,0,0,0,0,2020-02-11
1,柬埔寨,0,0,0,0,2020-02-10
1,柬埔寨,0,0,0,0,2020-02-01
1,柬埔寨,0,0,0,0,2020-01-27
1,安道尔,0,1,0,0,2020-03-05
1,安道尔,0,1,0,0,2020-03-04
1,安道尔,0,1,0,0,2020-03-03
1,安道尔,0,1,0,0,2020-03-02
1,尼日利亚,0,1,0,0,2020-03-05
1,尼日利亚,0,1,0,0,2020-03-03
1,尼日利亚,0,1,0,0,2020-03-02
1,尼日利亚,0,1,0,0,2020-03-01
1,尼日利亚,0,1,0,0,2020-02-29
1,尼日利亚,0,1,0,0,2020-02-28
9,希腊,0,9,0,0,2020-03-05
7,希腊,0,7,0,0,2020-03-04
7,希腊,0,7,0,0,2020-03-03
7,希腊,0,7,0,0,2020-03-02
7,希腊,0,7,0,0,2020-03-01
4,希腊,0,4,0,0,2020-02-29
4,希腊,0,4,0,0,2020-02-28
3,希腊,0,3,0,0,2020-02-27
1,希腊,0,1,0,0,2020-02-26
3089,意大利,276,2706,107,0,2020-03-05
2502,意大利,160,2263,79,0,2020-03-04
2036,意大利,149,1835,52,0,2020-03-03
1694,意大利,83,1577,34,0,2020-03-02
1128,意大利,50,1049,29,0,2020-03-01
888,意大利,46,821,21,0,2020-02-29
653,意大利,45,591,17,0,2020-02-28
528,意大利,40,474,14,0,2020-02-27
374,意大利,1,361,12,0,2020-02-26
283,意大利,1,275,7,0,2020-02-25
230,意大利,2,222,6,0,2020-02-24
117,意大利,1,114,2,0,2020-02-23
20,意大利,0,18,2,0,2020-02-22
3,意大利,0,3,0,0,2020-02-16
3,意大利,0,3,0,0,2020-02-15
3,意大利,0,3,0,0,2020-02-14
3,意大利,0,3,0,0,2020-02-13
3,意大利,0,0,0,0,2020-02-12
3,意大利,0,0,0,0,2020-02-11
3,意大利,0,0,0,0,2020-02-10
3,意大利,0,0,0,0,2020-02-08
2,意大利,0,0,0,0,2020-02-01
2,意大利,0,0,0,0,2020-01-31
28,阿联酋,5,23,0,0,2020-03-05
27,阿联酋,5,22,0,0,2020-03-04
21,阿联酋,5,16,0,0,2020-03-03
21,阿联酋,5,16,0,0,2020-03-02
21,阿联酋,5,16,0,0,2020-03-01
21,阿联酋,5,16,0,0,2020-02-29
19,阿联酋,5,14,0,0,2020-02-28
13,阿联酋,4,9,0,0,2020-02-26
13,阿联酋,4,9,0,0,2020-02-25
13,阿联酋,4,9,0,0,2020-02-24
13,阿联酋,4,9,0,0,2020-02-23
13,阿联酋,4,9,0,0,2020-02-22
9,阿联酋,4,5,0,0,2020-02-20
9,阿联酋,4,5,0,0,2020-02-19
9,阿联酋,4,5,0,0,2020-02-18
9,阿联酋,4,5,0,0,2020-02-17
8,阿联酋,4,4,0,0,2020-02-16
8,阿联酋,3,5,0,0,2020-02-15
8,阿联酋,1,7,0,0,2020-02-14
8,阿联酋,1,7,0,0,2020-02-13
8,阿联酋,1,0,0,0,2020-02-12
8,阿联酋,0,0,0,0,2020-02-11
7,阿联酋,0,0,0,0,2020-02-10
7,阿联酋,0,0,0,0,2020-02-08
5,阿联酋,0,0,0,0,2020-02-02
4,阿联酋,0,0,0,0,2020-02-01
4,阿联酋,0,0,0,0,2020-01-30
1,阿联酋,0,0,0,0,2020-01-29
1,波兰,0,1,0,0,2020-03-05
1,波兰,0,1,0,0,2020-03-04
29,印度,3,26,0,0,2020-03-05
15,印度,3,12,0,0,2020-03-04
6,印度,3,3,0,0,2020-03-03
3,印度,3,0,0,0,2020-03-02
3,印度,3,0,0,0,2020-03-01
3,印度,3,0,0,0,2020-02-29
3,印度,3,0,0,0,2020-02-26
3,印度,3,0,0,0,2020-02-20
3,印度,3,0,0,0,2020-02-19
3,印度,3,0,0,0,2020-02-18
3,印度,3,0,0,0,2020-02-17
3,印度,3,0,0,0,2020-02-16
3,印度,0,3,0,0,2020-02-15
3,印度,0,3,0,0,2020-02-14
3,印度,0,3,0,0,2020-02-13
3,印度,0,0,0,0,2020-02-12
3,印度,0,0,0,0,2020-02-11
3,印度,0,0,0,0,2020-02-10
3,印度,0,0,0,0,2020-02-04
2,印度,0,0,0,0,2020-02-02
1,印度,0,0,0,0,2020-02-01
1,印度,0,0,0,0,2020-01-30
7,卡塔尔,0,7,0,0,2020-03-05
7,卡塔尔,0,7,0,0,2020-03-04
7,卡塔尔,0,7,0,0,2020-03-03
1,卡塔尔,0,1,0,0,2020-03-02
1,卡塔尔,0,1,0,0,2020-03-01
52,瑞典,0,52,0,0,2020-03-05
30,瑞典,0,30,0,0,2020-03-04
19,瑞典,0,19,0,0,2020-03-03
13,瑞典,0,13,0,0,2020-03-02
13,瑞典,0,13,0,0,2020-03-01
12,瑞典,0,12,0,0,2020-02-29
7,瑞典,0,7,0,0,2020-02-28
2,瑞典,0,2,0,0,2020-02-27
1,瑞典,0,1,0,0,2020-02-26
1,瑞典,0,1,0,0,2020-02-16
1,瑞典,0,1,0,0,2020-02-15
1,瑞典,0,1,0,0,2020-02-14
1,瑞典,0,1,0,0,2020-02-13
1,瑞典,0,0,0,0,2020-02-12
1,瑞典,0,0,0,0,2020-02-11
1,瑞典,0,0,0,0,2020-02-10
1,瑞典,0,0,0,0,2020-02-01
6,罗马尼亚,1,5,0,0,2020-03-05
4,罗马尼亚,1,3,0,0,2020-03-04
3,罗马尼亚,0,3,0,0,2020-03-03
3,罗马尼亚,0,3,0,0,2020-03-02
3,罗马尼亚,0,3,0,0,2020-03-01
3,罗马尼亚,0,3,0,0,2020-02-29
1,罗马尼亚,0,1,0,0,2020-02-28
1,罗马尼亚,0,1,0,0,2020-02-27
4,塞内加尔,0,4,0,0,2020-03-05
1,塞内加尔,0,1,0,0,2020-03-04
1,塞内加尔,0,1,0,0,2020-03-03
112,新加坡,79,33,0,0,2020-03-05
110,新加坡,74,36,0,0,2020-03-04
110,新加坡,74,36,0,0,2020-03-03
106,新加坡,74,32,0,0,2020-03-02
102,新加坡,72,30,0,0,2020-03-01
98,新加坡,69,29,0,0,2020-02-29
93,新加坡,62,31,0,0,2020-02-28
93,新加坡,62,31,0,0,2020-02-27
93,新加坡,62,31,0,0,2020-02-26
90,新加坡,53,37,0,0,2020-02-25
89,新加坡,51,38,0,0,2020-02-24
89,新加坡,51,38,0,0,2020-02-23
85,新加坡,37,48,0,0,2020-02-22
85,新加坡,37,48,0,0,2020-02-21
84,新加坡,34,50,0,0,2020-02-20
84,新加坡,34,50,0,0,2020-02-19
77,新加坡,24,53,0,0,2020-02-18
77,新加坡,24,53,0,0,2020-02-17
72,新加坡,18,54,0,0,2020-02-16
72,新加坡,17,55,0,0,2020-02-15
67,新加坡,17,50,0,0,2020-02-14
58,新加坡,15,43,0,0,2020-02-13
47,新加坡,9,0,0,0,2020-02-12
45,新加坡,7,0,0,0,2020-02-11
43,新加坡,2,0,0,0,2020-02-10
40,新加坡,2,0,0,0,2020-02-09
33,新加坡,2,0,0,0,2020-02-08
30,新加坡,0,0,0,0,2020-02-07
28,新加坡,0,0,0,0,2020-02-06
24,新加坡,0,0,0,0,2020-02-04
18,新加坡,0,0,0,0,2020-02-02
16,新加坡,0,0,0,0,2020-02-01
13,新加坡,0,0,0,0,2020-01-31
10,新加坡,0,0,0,0,2020-01-29
5,新加坡,0,0,0,0,2020-01-28
4,新加坡,0,0,0,0,2020-01-27
24,荷兰,0,24,0,0,2020-03-05
24,荷兰,0,24,0,0,2020-03-04
24,荷兰,0,24,0,0,2020-03-03
10,荷兰,0,10,0,0,2020-03-02
7,荷兰,0,7,0,0,2020-03-01
2,荷兰,0,2,0,0,2020-02-29
1,荷兰,0,1,0,0,2020-02-28
47,泰国,31,15,1,0,2020-03-05
43,泰国,31,11,1,0,2020-03-04
43,泰国,31,11,1,0,2020-03-03
43,泰国,31,11,1,0,2020-03-02
42,泰国,28,13,1,0,2020-03-01
42,泰国,28,14,0,0,2020-02-29
41,泰国,28,13,0,0,2020-02-28
40,泰国,22,18,0,0,2020-02-27
40,泰国,22,18,0,0,2020-02-26
37,泰国,22,15,0,0,2020-02-25
35,泰国,21,14,0,0,2020-02-24
35,泰国,21,14,0,0,2020-02-23
35,泰国,17,18,0,0,2020-02-22
35,泰国,17,18,0,0,2020-02-21
35,泰国,15,20,0,0,2020-02-20
35,泰国,15,20,0,0,2020-02-19
35,泰国,15,20,0,0,2020-02-18
35,泰国,14,21,0,0,2020-02-17
34,泰国,14,20,0,0,2020-02-16
33,泰国,13,20,0,0,2020-02-15
33,泰国,10,23,0,0,2020-02-14
33,泰国,10,23,0,0,2020-02-13
33,泰国,10,0,0,0,2020-02-12
32,泰国,10,0,0,0,2020-02-11
32,泰国,10,0,0,0,2020-02-10
32,泰国,10,0,0,0,2020-02-08
25,泰国,5,0,0,0,2020-02-04
19,泰国,5,0,0,0,2020-02-01
19,泰国,5,0,0,0,2020-01-31
14,泰国,5,0,0,0,2020-01-28
7,泰国,2,0,0,0,2020-01-27
2,印度尼西亚,0,2,0,0,2020-03-05
2,印度尼西亚,0,2,0,0,2020-03-04
2,印度尼西亚,0,2,0,0,2020-03-03
2,印度尼西亚,0,2,0,0,2020-03-02
2,埃及,1,1,0,0,2020-03-05
2,埃及,1,1,0,0,2020-03-04
2,埃及,1,1,0,0,2020-03-03
2,埃及,1,1,0,0,2020-03-02
1,埃及,1,0,0,0,2020-03-01
1,埃及,1,0,0,0,2020-02-29
1,埃及,1,0,0,0,2020-02-28
1,埃及,0,1,0,0,2020-02-26
1,埃及,0,1,0,0,2020-02-20
1,埃及,0,1,0,0,2020-02-17
1,埃及,0,1,0,0,2020-02-16
1,埃及,0,1,0,0,2020-02-15
257,法国,12,241,4,0,2020-03-05
212,法国,12,196,4,0,2020-03-04
130,法国,12,116,2,0,2020-03-03
130,法国,12,116,2,0,2020-03-02
100,法国,12,86,2,0,2020-03-01
57,法国,11,44,2,0,2020-02-29
38,法国,11,25,2,0,2020-02-28
18,法国,11,5,2,0,2020-02-27
17,法国,11,4,2,0,2020-02-26
12,法国,11,0,1,0,2020-02-25
12,法国,4,7,1,0,2020-02-20
12,法国,4,7,1,0,2020-02-19
12,法国,4,7,1,0,2020-02-18
12,法国,4,7,1,0,2020-02-17
12,法国,4,7,1,0,2020-02-16
11,法国,0,10,1,0,2020-02-15
11,法国,0,11,0,0,2020-02-14
11,法国,0,11,0,0,2020-02-13
11,法国,0,0,0,0,2020-02-12
11,法国,0,0,0,0,2020-02-11
11,法国,0,0,0,0,2020-02-10
11,法国,0,0,0,0,2020-02-08
6,法国,0,0,0,0,2020-02-01
5,法国,0,0,0,0,2020-01-30
4,法国,0,0,0,0,2020-01-29
3,法国,0,0,0,0,2020-01-27
66,瑞士,2,64,0,0,2020-03-05
58,瑞士,2,56,0,0,2020-03-04
46,瑞士,2,44,0,0,2020-03-03
27,瑞士,0,27,0,0,2020-03-02
24,瑞士,0,24,0,0,2020-03-01
15,瑞士,0,15,0,0,2020-02-29
8,瑞士,0,8,0,0,2020-02-28
4,瑞士,0,4,0,0,2020-02-27
1,瑞士,0,1,0,0,2020-02-26
168,海南省,158,4,6,0,2020-03-05
168,海南省,158,5,5,0,2020-03-04
168,海南省,152,11,5,0,2020-03-03
168,海南省,149,14,5,0,2020-03-01
168,海南省,147,16,5,0,2020-02-29
168,海南省,133,30,5,0,2020-02-28
168,海南省,131,32,5,0,2020-02-27
168,海南省,129,34,5,0,2020-02-26
168,海南省,124,39,5,0,2020-02-25
168,海南省,116,47,5,0,2020-02-24
168,海南省,106,58,4,0,2020-02-23
168,海南省,104,60,4,0,2020-02-22
168,海南省,95,69,4,0,2020-02-21
168,海南省,86,78,4,0,2020-02-20
163,海南省,84,75,4,0,2020-02-19
163,海南省,79,80,4,0,2020-02-18
163,海南省,59,100,4,0,2020-02-17
