Date,High,Low,Open,Close,Volume,Adj Close
2019-01-02,2500.278076171875,2456.423095703125,2497.881103515625,2465.291015625,109900.0,2465.291015625
2019-01-03,2488.47900390625,2455.926025390625,2461.782958984375,2464.363037109375,124400.0,2464.363037109375
2019-01-04,2515.31591796875,2440.906982421875,2446.01904296875,2514.867919921875,168900.0,2514.867919921875
2019-01-07,2536.97802734375,2515.508056640625,2528.698974609375,2533.089111328125,177300.0,2533.089111328125
2019-01-08,2531.344970703125,2520.1650390625,2530.300048828125,2526.4619140625,158100.0,2526.4619140625
2019-01-09,2574.407958984375,2536.156982421875,2536.4169921875,2544.344970703125,191900.0,2544.344970703125
2019-01-10,2551.825927734375,2531.6640625,2543.85302734375,2535.09912109375,159900.0,2535.09912109375
2019-01-11,2554.787109375,2533.35888671875,2539.549072265625,2553.8310546875,149400.0,2553.8310546875
2019-01-14,2556.2939453125,2533.010009765625,2553.327880859375,2535.764892578125,144800.0,2535.764892578125
2019-01-15,2571.501953125,2532.43310546875,2537.3701171875,2570.344970703125,160300.0,2570.344970703125
2019-01-16,2574.236083984375,2563.006103515625,2569.070068359375,2570.422119140625,149300.0,2570.422119140625
2019-01-17,2582.555908203125,2557.7109375,2573.575927734375,2559.636962890625,162500.0,2559.636962890625
2019-01-18,2598.884033203125,2565.904052734375,2567.739013671875,2596.006103515625,190800.0,2596.006103515625
2019-01-21,2618.97998046875,2599.05810546875,2599.05810546875,2610.509033203125,163400.0,2610.509033203125
2019-01-22,2609.64208984375,2573.06201171875,2609.64208984375,2579.7041015625,152500.0,2579.7041015625
2019-01-23,2589.512939453125,2572.405029296875,2575.258056640625,2581.00390625,131400.0,2581.00390625
2019-01-24,2597.2890625,2569.699951171875,2584.64794921875,2591.694091796875,154000.0,2591.694091796875
2019-01-25,2617.001953125,2595.62890625,2596.261962890625,2601.722900390625,159400.0,2601.722900390625
2019-01-28,2630.318115234375,2591.10009765625,2615.7119140625,2596.97705078125,147000.0,2596.97705078125
2019-01-29,2601.736083984375,2559.98193359375,2592.35498046875,2594.25390625,155600.0,2594.25390625
2019-01-30,2598.81494140625,2575.408935546875,2584.74609375,2575.575927734375,120500.0,2575.575927734375
2019-01-31,2606.6279296875,2571.5791015625,2581.33203125,2584.572021484375,154300.0,2584.572021484375
2019-02-01,2618.47705078125,2590.553955078125,2597.778076171875,2618.23193359375,132000.0,2618.23193359375
2019-02-11,2654.095947265625,2613.174072265625,2613.174072265625,2653.89599609375,154900.0,2653.89599609375
2019-02-12,2674.47802734375,2648.830078125,2654.034912109375,2671.89404296875,184100.0,2671.89404296875
2019-02-13,2727.074951171875,2666.52197265625,2674.52001953125,2721.068115234375,243800.0,2721.068115234375
2019-02-14,2729.455078125,2707.487060546875,2715.535888671875,2719.699951171875,197000.0,2719.699951171875
2019-02-15,2715.632080078125,2679.784912109375,2712.785888671875,2682.385009765625,196000.0,2682.385009765625
2019-02-18,2754.35693359375,2699.81689453125,2699.81689453125,2754.35693359375,260400.0,2754.35693359375
2019-02-19,2780.783935546875,2737.5859375,2759.49609375,2755.64599609375,288000.0,2755.64599609375
